[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 60250 
Thinning interval = 25 
             beta[1]       beta[2]      beta[3]       beta[4]      beta[5]       beta[6] mulogsummer[1,1] mulogsummer[2,1] mulogsummer[1,2]
 [43,]         54.37828 0.8908894       9.304207 1.06612649
 [44,]         52.79889 0.9340068       9.579963 0.68093564
 [45,]         61.76329 0.9890147       9.881405 1.44223938
 [46,]         53.99240 0.9987307       9.772496 0.53878207
 [47,]         68.99516 0.9490624      10.723346 0.54085333
 [48,]         60.31547 0.9781440       9.501253 1.59572219
 [49,]         64.45395 1.0111580      10.735678 1.43938603
 [50,]         46.96300 0.9451327       8.493006 0.39079718
 [51,]         41.04067 0.9394435       7.282326 1.92198872
 [52,]         94.42088 0.9190333      10.620246 0.45038687
 [53,]         61.23396 0.9159652      10.710547 1.19796014
 [54,]         55.78384 0.9300005      10.049039 1.52678327
 [55,]         53.04761 1.0019923       9.552753 1.13421645
 [56,]         65.08211 0.9629432      10.412028 1.71041943
 [57,]         58.41540 0.9675419      10.111210 1.29974467
 [58,]         36.02865 0.9332557       6.631138 1.72019816
 [59,]         48.80892 0.9535265       9.012943 0.94795031
 [60,]         57.20320 0.9343485       9.419630 1.75777433
 [61,]         41.16892 0.9053680       7.281292 1.28116989
 [62,]         39.97938 0.8935888       7.657429 0.41374532
 [63,]         51.84181 0.9279753       8.643784 1.83797896
 [64,]         50.41344 0.8729562      10.425606 0.62145989
 [65,]         49.20360 0.9806436      10.271429 1.74825524
 [66,]         53.29131 0.8625505       9.089572 0.45572727
 [67,]         60.14656 1.0312940      10.169512 1.05581590
 [68,]         62.31953 0.8873736       9.843198 1.60964226
 [69,]         44.46025 0.9049346       7.532664 1.60260850
 [70,]         30.03518 0.9298084       5.480419 0.87236824
 [71,]         29.63043 0.8807840       5.877147 1.01097760
 [72,]         52.90030 0.9889213       8.559190 1.41169286
 [73,]         72.42137 0.8806021      10.745609 0.72307650
 [74,]         49.07040 0.9617837      10.252590 1.80214769
 [75,]         48.33621 0.9988360       9.209353 0.44132172
 [76,]         44.11238 0.9641059       7.875528 0.15347998
 [ reached 'max' / getOption("max.print") -- omitted 324 rows ]

[[2]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 60250 
Thinning interval = 25 
            beta[1]      beta[2]      beta[3]       beta[4]       beta[5]       beta[6] mulogsummer[1,1] mulogsummer[2,1] mulogsummer[1,2]
  [1,] -0.086956856 -0.138418890 -0.326633771  0.2122335554 -8.941028e-02  0.0304054709         33.11440         38.47622         47.23253
  [2,] -0.167242690 -0.078923400 -0.358957016  0.1435701908 -2.340446e-01 -0.0038885549         36.99151         33.31104         39.10940
  [3,] -0.054002889  0.022412528 -0.083618369  0.0608579433 -2.104271e-01 -0.1835047592         33.52477         42.73572         35.56435
  [4,]  0.099168012 -0.004214360 -0.476242134  0.6608584310 -2.298414e-01  0.0526781862         44.43589         49.55466         42.68748
  [5,] -0.319343755 -0.094491590 -0.681925905  0.3191597782 -2.526111e-01 -0.0133201620         37.32331         45.57714         47.91161
  [6,]  0.247842065 -0.086245742 -0.337424095  0.6212717605 -2.126094e-01 -0.0438988900         18.61700         37.35522         32.77715
