
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[123] 1.651e-03 0.000e+00 0.000e+00      0.000e+00
hr[124] 1.030e-04 0.000e+00 0.000e+00      0.000e+00
hr[125] 6.377e-04 0.000e+00 0.000e+00      0.000e+00
hr[126] 6.363e-05 0.000e+00 0.000e+00      0.000e+00
hr[127] 1.870e-04 0.000e+00 0.000e+00      0.000e+00
hr[128] 2.078e-05 0.000e+00 0.000e+00      0.000e+00
hr[129] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[130] 3.010e-04 0.000e+00 0.000e+00      0.000e+00
hr[131] 1.653e-02 0.000e+00 0.000e+00      0.000e+00
hr[132] 5.742e-03 0.000e+00 0.000e+00      0.000e+00
hr[133] 4.129e-05 1.481e-06 4.276e-08      3.186e-07
hr[134] 6.592e-04 9.077e-05 2.620e-06      3.548e-06
hr[135] 2.378e-03 0.000e+00 0.000e+00      0.000e+00
hr[136] 7.128e-03 0.000e+00 0.000e+00      0.000e+00
hr[137] 3.265e-03 0.000e+00 0.000e+00      0.000e+00
hr[138] 5.169e-03 0.000e+00 0.000e+00      0.000e+00
hr[139] 5.000e-03 0.000e+00 0.000e+00      0.000e+00
hr[140] 2.362e-03 0.000e+00 0.000e+00      0.000e+00
hr[141] 9.939e-03 0.000e+00 0.000e+00      0.000e+00
hr[142] 1.163e-03 0.000e+00 0.000e+00      0.000e+00
hr[143] 3.452e-03 0.000e+00 0.000e+00      0.000e+00
hr[144] 1.292e-03 0.000e+00 0.000e+00      0.000e+00
hr[145] 1.981e-04 0.000e+00 0.000e+00      0.000e+00
hr[146] 9.160e-04 0.000e+00 0.000e+00      0.000e+00
hr[147] 4.424e-03 0.000e+00 0.000e+00      0.000e+00
hr[148] 7.859e-05 0.000e+00 0.000e+00      0.000e+00
hr[149] 6.309e-05 7.506e-07 2.167e-08      1.134e-07
hr[150] 2.309e-04 1.031e-05 2.976e-07      4.081e-07
hr[151] 1.842e-04 2.020e-06 5.831e-08      2.581e-07
hr[152] 9.627e-05 4.690e-06 1.354e-07      5.423e-07
hr[153] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[154] 7.128e-03 0.000e+00 0.000e+00      0.000e+00
hr[155] 3.265e-03 0.000e+00 0.000e+00      0.000e+00
hr[156] 5.169e-03 0.000e+00 0.000e+00      0.000e+00
hr[157] 5.000e-03 0.000e+00 0.000e+00      0.000e+00
hr[158] 2.362e-03 0.000e+00 0.000e+00      0.000e+00
hr[159] 9.939e-03 0.000e+00 0.000e+00      0.000e+00
hr[160] 1.163e-03 0.000e+00 0.000e+00      0.000e+00
hr[161] 3.452e-03 0.000e+00 0.000e+00      0.000e+00
hr[162] 1.292e-03 0.000e+00 0.000e+00      0.000e+00
