SPECIES_CODE,Source,AssignedSSMU,CalendarYear,Month,TotalCatch
KRI,C1,APDPE,1997,12,619
KRI,C1,APDPE,1998,1,907
KRI,C1,APDPE,1998,2,221
KRI,C1,APDPE,1998,3,2024
KRI,C1,APDPE,1998,4,8307
KRI,C1,APDPE,1998,5,4030
KRI,C1,APDPE,1998,6,1740
KRI,C1,APDPE,1998,10,14
KRI,C1,APDPE,1998,12,11
KRI,C1,APDPE,1999,1,8
KRI,C1,APDPE,1999,2,1228
KRI,C1,APDPE,1999,3,3006
KRI,C1,APDPE,1999,4,2855
KRI,C1,APDPE,1999,5,88
KRI,C1,APDPE,1999,8,82
KRI,C1,APDPE,1999,9,2900
KRI,C1,APDPE,1999,10,254
KRI,C1,APDPE,1999,12,264
KRI,C1,APDPE,2000,1,277
KRI,C1,APDPE,2000,2,2115
KRI,C1,APDPE,2000,3,3754
KRI,C1,APDPE,2000,4,8586
KRI,C1,APDPE,2000,5,4595
KRI,C1,APDPE,2000,6,367
KRI,C1,APDPE,2000,8,1063
KRI,C1,APDPE,2000,9,62
KRI,C1,APDPE,2000,10,284
KRI,C1,APDPE,2000,12,608
KRI,C1,APDPE,2001,1,350
KRI,C1,APDPE,2001,2,1346
KRI,C1,APDPE,2001,3,1298
KRI,C1,APDPE,2001,4,6403
KRI,C1,APDPE,2001,5,8193
KRI,C1,APDPE,2002,1,62
KRI,C1,APDPE,2002,2,736
KRI,C1,APDPE,2002,4,346
KRI,C1,APDPE,2002,5,110
KRI,C1,APDPE,2003,1,191
KRI,C1,APDPE,2003,2,80
KRI,C1,APDPE,2003,3,130
KRI,C1,APDPE,2003,4,721
KRI,C1,APDPE,2003,5,382
KRI,C1,APDPE,2004,2,755
KRI,C1,APDPE,2004,3,624
KRI,C1,APDPE,2004,4,0
KRI,C1,APDPE,2004,7,10
KRI,C1,APDPE,2004,10,77
KRI,C1,APDPE,2005,2,7
KRI,C1,APDPE,2005,3,27
KRI,C1,APDPE,2005,4,460
KRI,C1,APDPE,2005,5,29
KRI,C1,APDPE,2005,8,1256
KRI,C1,APDPE,2005,9,187
KRI,C1,APDPE,2006,3,253
KRI,C1,APDPE,2006,4,1365
KRI,C1,APDPE,2006,5,3618
KRI,C1,APDPE,2006,6,2929
KRI,C1,APDPE,2006,7,1690
KRI,C1,APDPE,2006,8,5
KRI,C1,APDPE,2006,12,385
KRI,C1,APDPE,2007,1,268
KRI,C1,APDPE,2007,3,1064
KRI,C1,APDPE,2007,4,351
KRI,C1,APDPE,2008,2,113
KRI,C1,APDPE,2009,1,2
KRI,C1,APDPE,2009,2,133
KRI,C1,APDPE,2009,3,622
KRI,C1,APDPE,2009,5,861
KRI,C1,APDPE,2009,11,6
KRI,C1,APDPE,2009,12,362
KRI,C1,APDPE,2010,2,135
KRI,C1,APDPE,2010,3,67
KRI,C1,APDPE,2010,5,866
KRI,C1,APDPE,2010,9,1890
KRI,C1,APDPE,2010,10,1481
KRI,C1,APDPE,2010,12,2515
KRI,C1,APDPE,2011,1,352
KRI,C1,APDPE,2011,4,739
KRI,C1,APDPE,2011,5,4369
KRI,C1,APDPE,2011,12,4
KRI,C1,APDPE,2012,1,3631
KRI,C1,APDPE,2012,2,814
KRI,C1,APDPE,2012,3,381
KRI,C1,APDPE,2012,6,19
KRI,C1,APDPE,2012,10,34
KRI,C1,APDPE,2012,12,245
KRI,C1,APDPE,2013,1,6748
KRI,C1,APDPE,2013,2,488
KRI,C1,APDPE,2013,4,7
KRI,C1,APDPE,2013,5,232
KRI,C1,APDPE,2013,12,1480
KRI,C1,APDPE,2014,1,2414
KRI,C1,APDPE,2014,2,3425
KRI,C1,APDPE,2015,1,20
KRI,C1,APDPE,2015,2,2483
KRI,C1,APDPE,2015,3,467
KRI,C1,APDPW,1980,11,69
KRI,C1,APDPW,1980,12,461
KRI,C1,APDPW,1981,1,226
KRI,C1,APDPW,1981,11,306
KRI,C1,APDPW,1981,12,880
KRI,C1,APDPW,1982,1,54
KRI,C1,APDPW,1982,2,418
KRI,C1,APDPW,1982,3,16
KRI,C1,APDPW,1983,11,5
KRI,C1,APDPW,1983,12,8
KRI,C1,APDPW,1984,1,1964
KRI,C1,APDPW,1984,2,1502
KRI,C1,APDPW,1984,3,1982
KRI,C1,APDPW,1984,12,17
KRI,C1,APDPW,1985,1,195
KRI,C1,APDPW,1985,2,193
KRI,C1,APDPW,1985,11,4
KRI,C1,APDPW,1985,12,188
KRI,C1,APDPW,1986,1,2803
KRI,C1,APDPW,1986,2,153
KRI,C1,APDPW,1986,3,988
KRI,C1,APDPW,1987,1,61
KRI,C1,APDPW,1987,2,0
KRI,C1,APDPW,1987,3,392
KRI,C1,APDPW,1987,4,1360
KRI,C1,APDPW,1988,1,7302
KRI,C1,APDPW,1988,2,18533
KRI,C1,APDPW,1988,3,12686
KRI,C1,APDPW,1989,1,3978
KRI,C1,APDPW,1989,2,25116
KRI,C1,APDPW,1989,3,13615
KRI,C1,APDPW,1989,4,4312
KRI,C1,APDPW,1989,12,319
KRI,C1,APDPW,1990,1,3734
KRI,C1,APDPW,1990,2,3166
KRI,C1,APDPW,1990,3,53
KRI,C1,APDPW,1990,4,73
KRI,C1,APDPW,1990,12,6
KRI,C1,APDPW,1991,1,6983
KRI,C1,APDPW,1991,2,11640
KRI,C1,APDPW,1991,3,7708
KRI,C1,APDPW,1991,4,17
KRI,C1,APDPW,1991,12,2521
KRI,C1,APDPW,1992,1,10702
KRI,C1,APDPW,1992,2,12909
KRI,C1,APDPW,1992,3,13964
KRI,C1,APDPW,1992,4,11544
KRI,C1,APDPW,1992,5,2370
KRI,C1,APDPW,1993,1,2583
KRI,C1,APDPW,1993,2,6473
KRI,C1,APDPW,1993,3,14411
KRI,C1,APDPW,1993,4,6810
KRI,C1,APDPW,1994,1,4188
KRI,C1,APDPW,1994,2,8353
KRI,C1,APDPW,1994,3,12373
KRI,C1,APDPW,1994,4,1547
KRI,C1,APDPW,1994,5,118
KRI,C1,APDPW,1995,1,3103
KRI,C1,APDPW,1995,2,4461
KRI,C1,APDPW,1995,3,5328
KRI,C1,APDPW,1995,5,942
KRI,C1,APDPW,1995,12,1559
KRI,C1,APDPW,1996,1,3360
KRI,C1,APDPW,1996,2,7839
KRI,C1,APDPW,1996,3,6606
KRI,C1,APDPW,1996,4,3410
KRI,C1,APDPW,1996,5,9162
KRI,C1,APDPW,1996,6,5585
KRI,C1,APDPW,1996,7,54
KRI,C1,APDPW,1996,12,1026
KRI,C1,APDPW,1997,1,2706
KRI,C1,APDPW,1997,2,6940
KRI,C1,APDPW,1997,3,3863
KRI,C1,APDPW,1997,4,5092
KRI,C1,APDPW,1997,5,2439
KRI,C1,APDPW,1997,6,522
KRI,C1,APDPW,1997,12,638
KRI,C1,APDPW,1998,1,1332
KRI,C1,APDPW,1998,2,2158
KRI,C1,APDPW,1998,3,1648
KRI,C1,APDPW,1998,4,3188
KRI,C1,APDPW,1998,5,3401
KRI,C1,APDPW,1998,6,6937
KRI,C1,APDPW,1998,7,4049
KRI,C1,APDPW,1998,12,1414
KRI,C1,APDPW,1999,1,1894
KRI,C1,APDPW,1999,2,5894
KRI,C1,APDPW,1999,3,680
KRI,C1,APDPW,1999,5,287
KRI,C1,APDPW,1999,6,878
KRI,C1,APDPW,1999,10,294
KRI,C1,APDPW,2000,1,3992
KRI,C1,APDPW,2000,2,8454
KRI,C1,APDPW,2000,3,978
KRI,C1,APDPW,2000,4,277
KRI,C1,APDPW,2000,5,11937
KRI,C1,APDPW,2000,6,3942
KRI,C1,APDPW,2000,7,3381
KRI,C1,APDPW,2000,12,1109
KRI,C1,APDPW,2001,1,1222
KRI,C1,APDPW,2001,2,1044
KRI,C1,APDPW,2001,3,2777
KRI,C1,APDPW,2001,4,4592
KRI,C1,APDPW,2001,5,6387
KRI,C1,APDPW,2001,6,7255
KRI,C1,APDPW,2002,1,24
KRI,C1,APDPW,2002,4,360
KRI,C1,APDPW,2002,5,3003
KRI,C1,APDPW,2002,6,1472
KRI,C1,APDPW,2003,1,340
KRI,C1,APDPW,2003,2,3513
KRI,C1,APDPW,2003,3,5455
KRI,C1,APDPW,2003,4,4656
KRI,C1,APDPW,2003,5,15571
KRI,C1,APDPW,2003,6,211
KRI,C1,APDPW,2003,12,40
KRI,C1,APDPW,2004,2,2290
KRI,C1,APDPW,2004,3,2692
KRI,C1,APDPW,2004,5,45
KRI,C1,APDPW,2004,8,37
KRI,C1,APDPW,2005,2,322
KRI,C1,APDPW,2005,3,3181
KRI,C1,APDPW,2005,4,1140
KRI,C1,APDPW,2005,5,393
KRI,C1,APDPW,2006,3,10580
KRI,C1,APDPW,2006,4,20378
KRI,C1,APDPW,2006,5,5252
KRI,C1,APDPW,2006,6,4927
KRI,C1,APDPW,2006,7,641
KRI,C1,APDPW,2006,12,654
KRI,C1,APDPW,2007,1,262
KRI,C1,APDPW,2007,2,1581
KRI,C1,APDPW,2007,3,6133
KRI,C1,APDPW,2007,4,3227
KRI,C1,APDPW,2007,6,246
KRI,C1,APDPW,2008,2,218
KRI,C1,APDPW,2009,1,52
KRI,C1,APDPW,2009,2,447
KRI,C1,APDPW,2009,3,1029
KRI,C1,APDPW,2009,4,2
KRI,C1,APDPW,2009,5,5
KRI,C1,APDPW,2009,10,559
KRI,C1,APDPW,2009,11,1245
KRI,C1,APDPW,2009,12,268
KRI,C1,APDPW,2010,2,54
KRI,C1,APDPW,2010,3,1204
KRI,C1,APDPW,2010,4,587
KRI,C1,APDPW,2010,5,12510
KRI,C1,APDPW,2010,6,2516
KRI,C1,APDPW,2010,7,277
KRI,C1,APDPW,2011,1,41
KRI,C1,APDPW,2011,3,154
KRI,C1,APDPW,2011,4,454
KRI,C1,APDPW,2012,1,63
KRI,C1,APDPW,2012,2,101
KRI,C1,APDPW,2012,4,5827
KRI,C1,APDPW,2012,5,13153
KRI,C1,APDPW,2012,6,921
KRI,C1,APDPW,2012,10,68
KRI,C1,APDPW,2012,11,345
KRI,C1,APDPW,2012,12,2
KRI,C1,APDPW,2013,2,855
KRI,C1,APDPW,2013,3,2860
KRI,C1,APDPW,2013,4,4
KRI,C1,APDPW,2013,5,80
KRI,C1,APDPW,2013,12,7922
KRI,C1,APDPW,2014,1,8730
KRI,C1,APDPW,2014,2,2972
KRI,C1,APDPW,2014,3,6
KRI,C1,APDPW,2015,1,340
KRI,C1,APDPW,2015,3,7
KRI,C1,APE,1995,12,25
KRI,C1,APE,2009,3,2247
KRI,C1,APE,2009,4,822
KRI,C1,APEI,1980,12,112
KRI,C1,APEI,1981,1,52
KRI,C1,APEI,1981,2,622
KRI,C1,APEI,1981,3,34
KRI,C1,APEI,1981,4,0
KRI,C1,APEI,1981,11,60
KRI,C1,APEI,1982,1,432
KRI,C1,APEI,1982,2,18
KRI,C1,APEI,1982,3,35
KRI,C1,APEI,1982,10,2
