YEAR,PROJECT,SPECIES,DATE,WT,AGE,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3600,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3600,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3800,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3450,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3100,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2950,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3450,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3250,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3600,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2900,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3500,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3200,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2700,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2900,94.45901639,
1987-88,COPA,ADPE,2/3/1988,4050,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3100,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3050,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3100,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3400,94.45901639,
1987-88,COPA,ADPE,2/3/1988,4250,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3500,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3350,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3100,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3050,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3500,94.45901639,
1987-88,COPA,ADPE,2/3/1988,4000,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2950,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2500,94.45901639,
1987-88,COPA,ADPE,2/3/1988,4500,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3100,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3300,94.45901639,
1987-88,COPA,ADPE,2/3/1988,2550,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3050,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3500,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3600,94.45901639,
1987-88,COPA,ADPE,2/3/1988,4100,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3600,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3050,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3400,94.45901639,
1987-88,COPA,ADPE,2/3/1988,3650,94.45901639,
1988-89,COPA,ADPE,1/21/1989,2800,84.21212121,
1988-89,COPA,ADPE,1/22/1989,3400,85.21212121,
1988-89,COPA,ADPE,1/22/1989,3500,85.21212121,
1988-89,COPA,ADPE,1/22/1989,2900,85.21212121,
1988-89,COPA,ADPE,1/22/1989,2750,85.21212121,
1988-89,COPA,ADPE,1/22/1989,2600,85.21212121,
1988-89,COPA,ADPE,1/23/1989,3500,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3300,86.21212121,
1988-89,COPA,ADPE,1/23/1989,2950,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3750,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3000,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3500,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3450,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3300,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3250,86.21212121,
1988-89,COPA,ADPE,1/23/1989,2850,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3350,86.21212121,
1988-89,COPA,ADPE,1/23/1989,3450,86.21212121,
1988-89,COPA,ADPE,1/24/1989,3600,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3800,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3800,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3450,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3400,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3150,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3250,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3400,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3000,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3400,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3200,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3700,87.21212121,
1988-89,COPA,ADPE,1/24/1989,2600,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3000,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3500,87.21212121,
1988-89,COPA,ADPE,1/24/1989,2800,87.21212121,
1988-89,COPA,ADPE,1/24/1989,2800,87.21212121,
1988-89,COPA,ADPE,1/24/1989,3450,87.21212121,
1988-89,COPA,ADPE,1/25/1989,3050,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3750,88.21212121,
1988-89,COPA,ADPE,1/25/1989,2900,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3550,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3150,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3500,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3050,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3350,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3700,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3400,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3350,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3950,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3200,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3350,88.21212121,
1988-89,COPA,ADPE,1/25/1989,2950,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3350,88.21212121,
1988-89,COPA,ADPE,1/25/1989,3550,88.21212121,
1988-89,COPA,ADPE,1/26/1989,3550,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3500,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3150,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3400,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3100,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3650,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3100,89.21212121,
1988-89,COPA,ADPE,1/26/1989,2900,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3250,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3100,89.21212121,
1988-89,COPA,ADPE,1/26/1989,3100,89.21212121,
1988-89,COPA,ADPE,1/27/1989,2700,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3750,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3500,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3150,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3150,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3700,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3500,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3050,90.21212121,
1988-89,COPA,ADPE,1/27/1989,2850,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3750,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3350,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3100,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3200,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3600,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3600,90.21212121,
1988-89,COPA,ADPE,1/27/1989,2950,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3050,90.21212121,
1988-89,COPA,ADPE,1/27/1989,3000,90.21212121,
