YEAR,PROJECT,SPECIES,DATE,E1_WT,E1_VOL,E2_WT,E2_VOL
1990-91,COPA,ADPE,11/7/1990,110,107.8018376,108,101.5572096
1990-91,COPA,ADPE,11/7/1990,110,98.0605993,102,92.32062874
1990-91,COPA,ADPE,11/15/1990,118,111.3772032,NA,NA
1990-91,COPA,ADPE,11/15/1990,111,101.0901059,102,93.38522829
1990-91,COPA,ADPE,11/7/1990,130,115.6558602,122,109.2015821
1990-91,COPA,ADPE,11/7/1990,114,103.6146816,108,100.0207667
1990-91,COPA,ADPE,11/7/1990,104,104.0205312,104,87.4521088
1990-91,COPA,ADPE,11/15/1990,114,102.613225,101,90.91188736
1990-91,COPA,ADPE,11/7/1990,124,112.9855058,120,103.9884042
1990-91,COPA,ADPE,11/7/1990,117,91.92748032,108,100.2553108
1990-91,COPA,ADPE,11/7/1990,88,83.08937728,NA,NA
1990-91,COPA,ADPE,11/7/1990,111,99.36503654,104,95.28026112
1990-91,COPA,ADPE,11/15/1990,113,103.7696,104,93.42359194
1990-91,COPA,ADPE,11/7/1990,127,117.8211809,122,109.587817
1990-91,COPA,ADPE,11/15/1990,NA,NA,106,103.4081731
1990-91,COPA,ADPE,11/7/1990,120,108.4258714,113,102.7608699
1990-91,COPA,ADPE,11/7/1990,120,108.4850703,116,104.781248
1990-91,COPA,ADPE,11/7/1990,128,106.5395036,NA,NA
1991-92,COPA,ADPE,11/1/1991,130,118.1694336,128,115.8812288
1991-92,COPA,ADPE,11/1/1991,NA,NA,108,98.47916698
1991-92,COPA,ADPE,11/1/1991,128,115.8971535,NA,NA
1991-92,COPA,ADPE,11/2/1991,NA,NA,110,101.131072
1991-92,COPA,ADPE,11/3/1991,124,109.1214858,120,106.6270356
1991-92,COPA,ADPE,11/3/1991,123,108.7378883,115,102.6490803
1991-92,COPA,ADPE,11/4/1991,123,109.6019456,114,102.2899456
1991-92,COPA,ADPE,11/4/1991,128,105.2161229,110,95.8418688
1991-92,COPA,ADPE,11/4/1991,98,86.17732506,96,85.1572777
1991-92,COPA,ADPE,11/4/1991,108,96.20049101,107,97.79616
1991-92,COPA,ADPE,11/4/1991,128,114.4942019,NA,NA
1991-92,COPA,ADPE,11/4/1991,130,117.1725005,128,113.1182807
1991-92,COPA,ADPE,11/4/1991,116,102.5709834,89,79.42534298
1991-92,COPA,ADPE,11/4/1991,102,89.9760297,95,85.49680128
1991-92,COPA,ADPE,11/4/1991,116,103.560404,NA,NA
1991-92,COPA,ADPE,11/4/1991,128,115.6729667,122,111.7640289
1991-92,COPA,ADPE,11/4/1991,118,109.4453714,111,103.9993011
1991-92,COPA,ADPE,11/4/1991,102,92.2876416,102,92.87015629
1991-92,COPA,ADPE,11/4/1991,128,118.1003366,127,112.7153664
1991-92,COPA,ADPE,11/4/1991,110,102.995753,100,91.13383731
1991-92,COPA,ADPE,11/4/1991,112,107.3338122,110,102.3342653
1991-92,COPA,ADPE,11/4/1991,112,98.14583552,98,87.7449216
1991-92,COPA,ADPE,11/4/1991,120,107.48672,NA,NA
1991-92,COPA,ADPE,11/4/1991,78,67.2656896,NA,NA
1991-92,COPA,ADPE,11/4/1991,121,106.55377,114,101.8078065
1991-92,COPA,ADPE,11/4/1991,118,108.030528,NA,NA
1991-92,COPA,ADPE,11/5/1991,121,107.9934336,98,87.99581542
1991-92,COPA,ADPE,11/5/1991,106,96.94364467,88,79.872
1991-92,COPA,ADPE,11/5/1991,129,116.5688832,120,109.0127544
1991-92,COPA,ADPE,11/5/1991,115,103.6391547,110,99.1540736
1991-92,COPA,ADPE,11/5/1991,114,101.5137997,NA,NA
1991-92,COPA,ADPE,11/5/1991,116,104.8278989,106,97.39321344
1991-92,COPA,ADPE,11/5/1991,125,113.6706959,119,110.9220065
1991-92,COPA,ADPE,11/5/1991,133,116.46464,128,115.0168315
1991-92,COPA,ADPE,11/5/1991,132,117.9410104,122,110.3848166
1991-92,COPA,ADPE,11/5/1991,131,116.044672,115,102.2538583
1991-92,COPA,ADPE,11/5/1991,119,107.4898207,113,102.4997632
1991-92,COPA,ADPE,11/5/1991,121,107.214144,119,106.002432
1991-92,COPA,ADPE,11/5/1991,125,113.0818268,108,97.54731213
1991-92,COPA,ADPE,11/5/1991,135,122.7309466,127,113.6016922
1991-92,COPA,ADPE,11/5/1991,122,108.4620657,105,99.955456
1991-92,COPA,ADPE,11/5/1991,123,110.4539812,113,104.0615424
1991-92,COPA,ADPE,11/5/1991,125,112.59776,NA,NA
1991-92,COPA,ADPE,11/5/1991,123,110.2027622,115,104.6571745
1991-92,COPA,ADPE,11/5/1991,108,93.45024,100,93.51762739
1991-92,COPA,ADPE,11/5/1991,117,102.8785029,115,101.1477914
1991-92,COPA,ADPE,11/6/1991,118,108.5036544,NA,NA
1991-92,COPA,ADPE,11/6/1991,120,108.4044902,102,93.61075405
1991-92,COPA,ADPE,11/6/1991,116,102.9508076,92,83.48320512
1992-93,COPA,ADPE,11/21/1992,NA,106.4042455,NA,91.93914368
1992-93,COPA,ADPE,11/21/1992,NA,102.2547763,NA,95.8500864
1992-93,COPA,ADPE,11/21/1992,NA,109.2969861,NA,104.4378419
1992-93,COPA,ADPE,11/21/1992,NA,102.5060106,NA,96.97244006
1992-93,COPA,ADPE,11/21/1992,NA,100.8919941,NA,99.26873088
1992-93,COPA,ADPE,11/21/1992,NA,96.86826547,NA,95.84094515
1992-93,COPA,ADPE,11/21/1992,NA,122.3014707,NA,113.999872
1992-93,COPA,ADPE,11/21/1992,NA,91.46831616,NA,79.487232
1992-93,COPA,ADPE,11/21/1992,NA,109.6739389,NA,109.3812357
1992-93,COPA,ADPE,11/21/1992,NA,101.9554268,NA,92.65882112
1992-93,COPA,ADPE,11/21/1992,NA,105.2186829,NA,88.55001498
1992-93,COPA,ADPE,11/21/1992,NA,92.99110707,NA,87.70323251
1992-93,COPA,ADPE,11/21/1992,NA,95.883264,NA,94.62349824
1992-93,COPA,ADPE,11/21/1992,NA,98.02317773,NA,96.79791514
1992-93,COPA,ADPE,11/21/1992,NA,121.7692324,NA,109.7196088
1992-93,COPA,ADPE,11/21/1992,NA,103.7906739,NA,88.66058342
1992-93,COPA,ADPE,11/21/1992,NA,102.4441933,NA,98.09066803
1992-93,COPA,ADPE,11/21/1992,NA,102.4272814,NA,87.82853222
1992-93,COPA,ADPE,11/21/1992,NA,111.04896,NA,107.7605868
1992-93,COPA,ADPE,11/21/1992,NA,122.883006,NA,108.123029
1992-93,COPA,ADPE,11/21/1992,NA,100.625449,NA,96.70742784
1992-93,COPA,ADPE,11/21/1992,NA,96.68168294,NA,88.26421248
1992-93,COPA,ADPE,11/21/1992,NA,117.3183529,NA,95.4837504
1992-93,COPA,ADPE,11/21/1992,NA,100.4479119,NA,91.16038195
1992-93,COPA,ADPE,11/21/1992,NA,106.1641405,NA,100.384832
1992-93,COPA,ADPE,11/21/1992,NA,98.0400768,NA,96.63322522
1992-93,COPA,ADPE,11/21/1992,NA,111.7440082,NA,111.4274529
1992-93,COPA,ADPE,11/21/1992,NA,103.4867958,NA,94.4859607
1992-93,COPA,ADPE,11/21/1992,NA,104.8968704,NA,95.94165504
1992-93,COPA,ADPE,11/21/1992,NA,113.977086,NA,113.1415142
1992-93,COPA,ADPE,11/21/1992,NA,111.0343941,NA,98.1257472
1992-93,COPA,ADPE,11/21/1992,NA,126.45216,NA,125.0439004
1992-93,COPA,ADPE,11/21/1992,NA,88.25300378,NA,83.95980186
1992-93,COPA,ADPE,11/21/1992,NA,130.5415997,NA,124.1032458
1992-93,COPA,ADPE,11/21/1992,NA,109.1556864,NA,104.932992
1992-93,COPA,ADPE,11/21/1992,NA,97.59934413,NA,97.23591475
1992-93,COPA,ADPE,11/21/1992,NA,116.0359424,NA,107.5664809
1992-93,COPA,ADPE,11/21/1992,NA,105.0850688,NA,104.8337961
1992-93,COPA,ADPE,11/21/1992,NA,104.7740969,NA,103.4990945
1992-93,COPA,ADPE,11/21/1992,NA,128.4886528,NA,115.6005504
1992-93,COPA,ADPE,11/21/1992,NA,101.6727552,NA,98.40391373
1992-93,COPA,ADPE,11/21/1992,NA,98.76784333,NA,88.63909018
