2008,1,1.21E+00
2008,2,1.15E+00
2008,3,5.87E-01
2008,4,-8.73E-01
2008,5,-4.90E-01
2008,6,1.35E+00
2008,7,3.20E-01
2008,8,8.70E-02
2008,9,1.39E+00
2008,10,1.21E+00
2008,11,9.20E-01
2008,12,1.19E+00
2009,1,9.63E-01
2009,2,4.56E-01
2009,3,6.05E-01
2009,4,2.92E-02
2009,5,-7.33E-01
2009,6,-4.70E-01
2009,7,-1.23E+00
2009,8,-6.86E-01
2009,9,-1.65E-02
2009,10,8.48E-02
2009,11,-1.92E+00
2009,12,6.07E-01
2010,1,-7.57E-01
2010,2,-7.75E-01
2010,3,1.08E-01
2010,4,3.77E-01
2010,5,1.02E+00
2010,6,2.07E+00
2010,7,2.42E+00
2010,8,1.51E+00
2010,9,4.02E-01
2010,10,1.33E+00
2010,11,1.52E+00
2010,12,2.05E-01
2011,1,5.24E-02
2011,2,1.07E+00
2011,3,-2.96E-01
2011,4,-8.70E-01
2011,5,1.27E+00
2011,6,-9.90E-02
2011,7,-1.38E+00
2011,8,-1.20E+00
2011,9,-1.25E+00
2011,10,3.88E-01
2011,11,-9.08E-01
2011,12,2.57E+00
2012,1,1.58E+00
2012,2,-2.83E-01
2012,3,2.75E-01
2012,4,6.66E-01
2012,5,1.53E-01
2012,6,-1.97E-01
2012,7,1.26E+00
2012,8,4.89E-01
2012,9,5.62E-01
2012,10,-4.44E-01
2012,11,-1.70E+00
2012,12,-7.64E-01
2013,1,7.10E-02
2013,2,7.16E-01
2013,3,1.37E+00
2013,4,6.11E-01
2013,5,3.60E-01
2013,6,-2.71E-01
2013,7,9.45E-01
2013,8,-1.56E+00
2013,9,-1.66E+00
2013,10,-4.58E-01
2013,11,1.89E-01
2013,12,6.13E-02
2014,1,-6.83E-01
2014,2,3.22E-01
2014,3,4.67E-01
2014,4,6.14E-01
2014,5,-4.45E-01
2014,6,8.41E-01
2014,7,2.47E-01
2014,8,-5.89E-02
2014,9,-1.12E+00
2014,10,-3.90E-02
