[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
            beta[1]      beta[2]     beta[3]     beta[4]     beta[5]      beta[6] mulogsummer[1,1]
[12,]  0.063479396  0.0188812022  0.03645210  0.081027738 -0.33909943 -0.085624615         31.80472
[13,] -0.184902732  0.0258723440 -0.49617181  0.308631572 -0.03545339 -0.086326899         22.96628
[14,] -0.269226261  0.0620922423 -0.08277304 -0.219212748 -0.21470021 -0.111708356         24.03364
[15,] -0.093734125 -0.1217405018 -0.54575635  0.315261451 -0.06775076 -0.194462086         20.71461
[16,] -0.202185602 -0.0478146091 -0.46548235  0.299396453 -0.10537882 -0.181165780         35.19761
[17,]  0.030915693 -0.0067270774 -0.21320756  0.398136095 -0.33979411  0.083183394         33.80926
[18,] -0.028027099  0.0008486169 -0.29202389  0.228066933 -0.06555808 -0.205171237         34.91748
[19,] -0.021255830 -0.0152945702 -0.07132548  0.085275125 -0.14438096 -0.140848081         28.06636
[20,] -0.033587539  0.1335164975  0.06757652  0.033515390 -0.12489951 -0.171568358         23.49635
[21,]  0.066312845 -0.0363665492 -0.14175924  0.239543300 -0.21823978 -0.214550195         28.55800
[22,] -0.510603800 -0.0172794201 -0.49838152 -0.038137705 -0.03378902 -0.123848658         21.86835
[23,] -0.040489068  0.0093012268 -0.44681559  0.415955636 -0.16439215  0.019173458         30.70418
[24,] -0.123086533 -0.0474096207 -0.22279800  0.138784685 -0.33824343 -0.008210786         27.61730
[25,]  0.003353190  0.0190276754 -0.22392265  0.222983921 -0.12211467 -0.004495200         29.95298
[26,] -0.218957017 -0.2055714499 -0.11181496 -0.054546613 -0.28077899 -0.020858382         32.88078
[27,] -0.034923076  0.0355792942  0.01812900 -0.111608295 -0.14829801 -0.059356648         20.13484
[28,] -0.133036783  0.0871442447 -0.24085189  0.253422356 -0.26650025 -0.164107108         25.50722
[29,]  0.007168472  0.0416462115 -0.14589312  0.237843715 -0.25612144 -0.068550083         38.95322
[30,] -0.292269039  0.0029781905 -0.11628203 -0.096319529 -0.17139218 -0.145303547         25.07188
[31,] -0.453211116  0.0271507554 -0.16093458 -0.314748745 -0.27735864 -0.014375840         25.75784
[32,] -0.220091834 -0.0420818367 -0.06887050 -0.192350016 -0.11227717 -0.044673566         26.35787
[33,]  0.103808952  0.0352343453 -0.09863299  0.227197922 -0.20131705 -0.166373594         19.89871
[34,] -0.135798211 -0.0044602049 -0.03065587 -0.071310677 -0.29552694  0.003730086         24.88205
[35,] -0.183184979 -0.0049485571 -0.18571330  0.063142917 -0.28197135 -0.109402145         33.81317
[36,] -0.194972181 -0.0977983958 -0.47757875  0.193446892 -0.22141238  0.138930564         34.05370
[37,]  0.300443958 -0.0139331363 -0.38430247  0.668142831 -0.19744923 -0.242099524         32.72062
[38,] -0.282783521 -0.0324818879 -0.35537775  0.184767257 -0.34865046 -0.036796292         22.86028
[39,] -0.323827907 -0.0913753787 -0.14374371 -0.211593093 -0.37053406  0.114433194         29.49735
[40,]  0.114206068  0.0769427495  0.10649891  0.045334267 -0.28189577  0.049779879         31.77793
[41,] -0.345054131 -0.1256122217 -0.20018406 -0.155152282 -0.06509582 -0.097662609         27.25132
[42,] -0.379586571 -0.2103671435 -0.40566604  0.182705439 -0.26209668  0.002871130         41.44919
[43,]  0.035147297  0.1379408351 -0.07671554  0.139824614 -0.10361802 -0.191007090         31.28156
[44,] -0.158461522 -0.0127154592  0.02218828 -0.115521080 -0.13704920 -0.103860566         40.46009
[45,] -0.318876455  0.0034843109 -0.42407728  0.133573568 -0.37737056  0.051553015         32.19276
[46,] -0.144909628 -0.1262486897  0.10730091 -0.195808420 -0.28137020  0.013973469         28.75540
[47,]  0.100814047  0.1013099099 -0.16238651  0.168278284 -0.13603385 -0.098294515         34.00198
[48,]  0.221151381 -0.0345821666 -0.23474746  0.542618865 -0.20574566 -0.064456349         29.18912
      mulogsummer[2,1] mulogsummer[1,2] mulogsummer[2,2]  sd.index sigmalogsummer t.sd.index
 [1,]         15.81537         27.80011         22.05943 0.9339961       8.087226 0.35583372
 [2,]         28.04780         39.74682         28.08693 0.9489549       8.951291 1.75878372
 [3,]         27.86618         28.15618         32.26926 0.9476441       9.055293 1.92131796
 [4,]         25.29593         32.38386         41.03134 0.9544690       8.881044 1.59950083
 [5,]         25.20983         31.59014         31.35687 0.9270713       8.338642 1.99551988
 [6,]         25.51896         34.61244         35.55169 0.9013211       8.375152 0.08855758
 [7,]         20.62503         28.20205         32.33932 0.9698379       7.214051 0.31667236
 [8,]         19.32377         33.16102         27.28874 0.9425433       8.126690 1.85476601
 [9,]         23.27615         26.21193         24.91714 0.9798145       7.150033 0.85272313
[10,]         19.40711         30.87532         39.91119 0.9681238       8.543401 0.34762989
[11,]         21.62909         28.47201         28.78684 0.9857235       8.632686 0.76904553
[12,]         24.65554         27.90152         34.54035 1.0137782       8.620011 1.58827125
[13,]         19.12884         30.82215         34.84690 0.9323417       7.731145 0.64488524
[14,]         24.88658         33.46974         30.57330 0.9938926       8.542957 0.15834871
[15,]         22.19434         24.26714         26.33094 0.9530548       8.174682 1.01663524
[16,]         25.27301         28.91717         32.95383 1.0313234       8.609612 0.95305220
[17,]         18.83336         27.67070         25.55991 1.0139269       7.601468 1.22243437
