
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[219] 2.068e-01 0.000e+00 0.000e+00      0.000e+00
hr[220] 1.201e+00 0.000e+00 0.000e+00      0.000e+00
hr[221] 5.501e-02 0.000e+00 0.000e+00      0.000e+00
hr[222] 1.518e-02 0.000e+00 0.000e+00      0.000e+00
hr[223] 3.476e-01 0.000e+00 0.000e+00      0.000e+00
hr[224] 5.501e-02 0.000e+00 0.000e+00      0.000e+00
hr[225] 1.518e-02 0.000e+00 0.000e+00      0.000e+00
hr[226] 3.476e-01 0.000e+00 0.000e+00      0.000e+00
hr[227] 1.212e+00 0.000e+00 0.000e+00      0.000e+00
hr[228] 8.462e-05 0.000e+00 0.000e+00      0.000e+00
hr[229] 3.416e-04 0.000e+00 0.000e+00      0.000e+00
hr[230] 2.737e-01 0.000e+00 0.000e+00      0.000e+00
hr[231] 2.068e-01 0.000e+00 0.000e+00      0.000e+00
hr[232] 1.201e+00 0.000e+00 0.000e+00      0.000e+00

2. Quantiles for each variable:

             2.5%       25%       50%       75%     97.5%
hr[1]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[2]   7.113e-07 2.329e-06 4.282e-06 7.818e-06 2.560e-05
hr[3]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[4]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[5]   2.036e-04 6.560e-04 1.200e-03 2.210e-03 6.945e-03
hr[6]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[7]   3.457e-05 1.059e-04 1.940e-04 3.570e-04 1.172e-03
hr[8]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[9]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[10]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[11]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[12]  1.422e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05
hr[13]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[14]  2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[15]  1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[16]  4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[17]  4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[18]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[19]  6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[20]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[21]  2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[22]  1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[23]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[24]  1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[25]  1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
