
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[1]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[2]   7.052e-07 2.260e-06 4.191e-06 7.686e-06 2.469e-05
hr[3]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[4]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[5]   2.024e-04 6.475e-04 1.170e-03 2.142e-03 6.728e-03
hr[6]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[7]   3.230e-05 1.055e-04 1.940e-04 3.577e-04 1.186e-03
hr[8]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[9]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[10]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[11]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[12]  1.422e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05
hr[13]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[14]  2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[15]  1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[16]  4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[17]  4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[18]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[19]  6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[20]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[21]  2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[22]  1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[23]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[24]  1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[25]  1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[26]  1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[27]  3.057e-04 9.807e-04 1.785e-03 3.262e-03 1.065e-02
hr[28]  7.376e-04 2.393e-03 4.383e-03 7.971e-03 2.575e-02
hr[29]  4.423e-04 1.458e-03 2.683e-03 4.906e-03 1.576e-02
hr[30]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[31]  3.208e-03 3.208e-03 3.208e-03 3.208e-03 3.208e-03
hr[32]  3.469e-03 3.469e-03 3.469e-03 3.469e-03 3.469e-03
hr[33]  1.362e-02 1.362e-02 1.362e-02 1.362e-02 1.362e-02
hr[34]  7.457e-03 7.457e-03 7.457e-03 7.457e-03 7.457e-03
hr[35]  4.861e-03 4.861e-03 4.861e-03 4.861e-03 4.861e-03
hr[36]  1.092e-04 1.092e-04 1.092e-04 1.092e-04 1.092e-04
hr[37]  3.729e-03 3.729e-03 3.729e-03 3.729e-03 3.729e-03
hr[38]  9.231e-03 9.231e-03 9.231e-03 9.231e-03 9.231e-03
hr[39]  4.557e-04 4.557e-04 4.557e-04 4.557e-04 4.557e-04
hr[40]  6.950e-04 6.950e-04 6.950e-04 6.950e-04 6.950e-04
hr[41]  9.100e-04 9.100e-04 9.100e-04 9.100e-04 9.100e-04
hr[42]  1.071e-04 1.071e-04 1.071e-04 1.071e-04 1.071e-04
hr[43]  1.505e-03 1.505e-03 1.505e-03 1.505e-03 1.505e-03
hr[44]  1.855e-04 1.855e-04 1.855e-04 1.855e-04 1.855e-04
hr[45]  3.108e-05 3.108e-05 3.108e-05 3.108e-05 3.108e-05
hr[46]  9.102e-05 2.998e-04 5.513e-04 1.009e-03 3.274e-03
hr[47]  2.434e-03 8.119e-03 1.513e-02 2.762e-02 8.747e-02
hr[48]  3.468e-03 1.100e-02 2.007e-02 3.689e-02 1.174e-01
hr[49]  5.472e-05 1.735e-04 3.142e-04 5.755e-04 1.912e-03
hr[50]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[51]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[52]  2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[53]  1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[54]  4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[55]  4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[56]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[57]  6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[58]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[59]  2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[60]  1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[61]  1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[62]  1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[63]  1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[64]  2.999e-04 9.924e-04 1.817e-03 3.314e-03 1.061e-02
hr[65]  7.460e-04 2.394e-03 4.372e-03 8.067e-03 2.516e-02
hr[66]  3.469e-03 3.469e-03 3.469e-03 3.469e-03 3.469e-03
hr[67]  1.362e-02 1.362e-02 1.362e-02 1.362e-02 1.362e-02
hr[68]  7.457e-03 7.457e-03 7.457e-03 7.457e-03 7.457e-03
hr[69]  4.861e-03 4.861e-03 4.861e-03 4.861e-03 4.861e-03
hr[70]  1.092e-04 1.092e-04 1.092e-04 1.092e-04 1.092e-04
